ip,port,anonymous,info
182.88.29.65,8123,3,中国-广西-南宁
181.131.111.238,8089,3,哥伦比亚-哥伦比亚
124.206.186.161,3128,3,中国-北京-北京
171.38.180.176,8123,3,中国-广西-钦州
36.47.207.230,80,3,中国-陕西-西安
175.182.140.229,8080,3,中国-台湾
178.62.195.131,8080,3,荷兰-荷兰
113.120.174.164,808,3,中国-山东-济宁
67.205.135.86,8080,3,美国-美国
201.175.12.170,8080,3,墨西哥-墨西哥
112.118.43.137,3128,3,中国-香港
180.183.119.171,8080,3,泰国-泰国
39.1.47.211,8080,3,中国-台湾
101.201.70.236,8080,3,中国-北京-北京
186.137.117.18,8089,3,阿根廷-阿根廷
114.45.51.233,8080,3,中国-台湾
201.232.194.32,8090,3,哥伦比亚-哥伦比亚
141.196.69.75,8080,3,土耳其-土耳其
180.183.60.16,8080,3,泰国-泰国
67.205.130.11,8080,3,美国-美国
49.207.78.222,8080,3,印度-印度
185.86.6.152,7535,3,土耳其-土耳其
123.201.164.36,8080,3,印度-印度
52.40.183.181,80,3,美国-美国
58.217.10.137,808,3,中国-江苏-镇江
119.53.122.70,8118,3,中国-吉林-长春
89.249.253.10,80,3,俄罗斯-俄罗斯
110.73.5.61,8123,3,中国-广西-防城港
179.99.224.150,3128,3,巴西-巴西
197.243.50.242,3129,3,卢旺达-卢旺达
39.187.65.118,80,3,中国-浙江-宁波
122.193.190.38,81,3,中国-江苏-无锡
72.159.158.210,3128,3,美国-美国
125.109.103.97,3128,3,中国-浙江-温州
220.136.20.241,8080,3,中国-台湾
218.187.86.27,8080,3,中国-台湾
182.89.6.29,8123,3,中国-广西-柳州
121.167.250.99,808,3,韩国-韩国
39.74.42.16,81,3,中国-山东-德州
58.247.45.250,80,3,中国-上海-上海
182.90.252.10,2226,3,中国-广西-柳州
142.4.118.201,80,3,美国-美国
217.76.204.197,8080,3,乌克兰-乌克兰
60.11.56.243,8118,3,中国-黑龙江-伊春
171.38.165.137,8123,3,中国-广西-钦州
171.38.170.178,8123,3,中国-广西-钦州
183.88.50.84,8080,3,泰国-泰国
200.145.14.22,21320,3,巴西-巴西
189.94.217.145,8080,3,巴西-巴西
43.243.112.87,3128,3,中国-香港
94.177.243.101,2121,3,罗马尼亚-罗马尼亚
123.131.227.168,81,3,中国-山东-临沂
61.228.45.86,8080,3,中国-台湾
82.165.151.230,80,3,德国-德国
80.242.171.20,8888,3,德国-德国
115.236.227.238,808,3,中国-浙江-绍兴
97.73.184.210,87,3,美国-美国
122.193.14.108,82,3,中国-江苏
201.162.127.178,8080,3,巴西-巴西
94.230.243.6,8080,3,俄罗斯-俄罗斯
182.89.5.194,8123,3,中国-广西-柳州
210.16.120.97,8080,3,菲律宾-菲律宾
39.1.42.173,8080,3,中国-台湾
218.28.218.193,3128,3,中国-河南-鹤壁
41.44.217.62,8080,3,埃及-埃及
139.59.251.82,8000,3,澳大利亚-澳大利亚
175.150.172.23,8888,3,中国-辽宁-盘锦
118.144.154.253,3128,3,中国-北京-北京
61.62.185.38,8080,3,中国-台湾
218.90.150.70,80,3,中国-江苏-无锡
139.0.26.55,8080,3,印度尼西亚-印度尼西亚
50.77.178.97,8080,3,美国-美国
179.190.170.189,8089,3,巴西-巴西
104.203.232.146,13952,3,美国-美国
216.158.227.215,8080,3,美国-美国
39.1.42.69,8080,3,中国-台湾
191.101.236.208,3128,3,美国-美国
181.28.195.211,8090,3,阿根廷-阿根廷
52.211.246.158,3128,3,美国-美国
45.63.41.5,8080,3,美国-美国
163.172.27.83,3128,3,法国-法国
183.88.92.97,8080,3,泰国-泰国
1.163.30.105,8080,3,中国-台湾
134.35.200.111,8080,3,美国-美国
77.174.184.148,80,3,荷兰-荷兰
124.235.233.240,8118,3,中国-吉林-长春
104.203.232.136,13952,3,美国-美国
61.163.59.65,3128,3,中国-河南-洛阳
149.56.47.141,8080,3,美国-美国
181.230.107.36,8089,3,阿根廷-阿根廷
183.82.151.47,8080,3,印度-印度
49.67.54.180,808,3,中国-江苏-南通
200.54.180.226,80,3,智利-智利
182.53.51.35,3128,3,泰国-泰国
124.206.133.227,80,3,中国-北京-北京
112.80.16.178,6969,3,中国-江苏-苏州
94.177.250.70,8080,3,罗马尼亚-罗马尼亚
23.83.250.141,3128,3,美国-美国
222.93.247.43,81,3,中国-江苏-苏州
213.57.89.97,18000,3,以色列-以色列
117.211.164.197,8080,3,印度-印度
122.96.59.106,843,3,中国-江苏-南京
158.69.237.1,3128,3,加拿大-加拿大
190.124.159.57,8080,3,阿根廷-阿根廷
220.188.52.121,8888,3,中国-浙江-金华
39.1.37.180,8080,3,中国-台湾
49.72.81.187,808,3,中国-江苏-苏州
80.72.34.114,80,3,波兰-波兰
117.239.111.101,3128,3,印度-印度
148.240.155.168,8080,3,墨西哥-墨西哥
114.100.206.157,808,3,中国-安徽-马鞍山
218.191.247.51,8380,3,中国-香港
103.232.64.196,8080,3,印度尼西亚-印度尼西亚
124.244.33.148,8088,3,中国-香港
171.38.132.226,8123,3,中国-广西-钦州
45.32.69.195,3128,3,美国-美国
171.38.183.39,8123,3,中国-广西-钦州
61.230.98.159,8080,3,中国-台湾
91.205.173.222,3128,3,德国-德国
221.9.134.108,8888,3,中国-吉林-四平
123.202.107.86,8088,3,中国-香港
27.210.91.176,81,3,中国-山东-青岛
64.20.45.141,8080,3,美国-美国
113.12.65.154,1337,3,中国-广西-南宁
27.219.72.143,81,3,中国-山东-青岛
46.101.1.182,8118,3,英国-英国
183.208.169.185,8123,3,中国-江苏-常州
203.156.126.55,3129,3,泰国-泰国
180.250.165.156,80,3,印度尼西亚-印度尼西亚
121.229.4.18,8118,3,中国-江苏-南京
27.184.133.128,8888,3,中国-河北-石家庄
185.139.236.5,8080,3,欧盟-欧盟
85.21.200.23,8088,3,俄罗斯-俄罗斯
177.200.211.10,8080,3,巴西-巴西
185.109.146.238,3128,3,荷兰-荷兰
191.185.195.149,8089,3,巴西-巴西
217.12.194.171,3128,3,乌克兰-乌克兰
121.10.1.181,8080,3,中国-广东-东莞
46.105.152.74,8888,3,法国-法国
112.92.208.91,9797,3,中国-广东-中山
121.204.165.108,8118,3,中国-福建-厦门
111.155.124.85,8123,3,中国-陕西
117.54.201.6,8080,3,印度尼西亚-印度尼西亚
177.157.219.113,8080,3,巴西-巴西
116.224.231.163,9797,3,中国-上海-上海
111.4.127.94,8080,3,中国-湖北-武汉
171.101.196.75,8089,3,泰国-泰国
46.119.146.13,8080,3,乌克兰-乌克兰
117.57.43.122,808,3,中国-安徽-铜陵
95.47.102.229,4045,3,俄罗斯-俄罗斯
60.163.48.224,8118,3,中国-浙江-嘉兴
122.5.243.116,8888,3,中国-山东-菏泽
183.88.93.85,8080,3,泰国-泰国
89.249.73.178,8080,3,英国-英国
183.141.107.79,3128,3,中国-浙江-嘉兴
177.54.107.29,8082,3,巴西-巴西
61.5.111.15,8080,3,印度尼西亚-印度尼西亚
202.118.8.13,3128,3,中国-辽宁-沈阳-东北大学
114.27.100.240,8998,3,中国-台湾
23.94.32.162,80,3,美国-美国
203.77.246.164,8080,3,印度尼西亚-印度尼西亚
109.188.74.153,8081,3,俄罗斯-俄罗斯
200.145.14.43,21320,3,巴西-巴西
88.208.238.110,3128,3,英国-英国
49.69.187.125,81,3,中国-江苏-盐城
45.55.78.249,3128,3,美国-美国
1.163.241.59,8080,3,中国-台湾
52.197.244.20,80,3,美国-美国
183.140.83.158,3128,3,中国-浙江-嘉兴
77.174.238.96,80,3,荷兰-荷兰
182.119.14.246,81,3,中国-河南-郑州
177.66.105.166,8080,3,巴西-巴西
14.215.89.81,8888,3,中国-广东-佛山
197.5.128.1,8080,3,突尼斯-突尼斯
211.90.28.23,8888,3,中国-河北-唐山
